GO_term	taxon
GO:0000800	Opisthokonta
GO:0000801	Eukaryota
GO:0000802	Eukaryota
GO:0000803	Amniota
GO:0000808	cellular organisms
GO:0000811	Eukaryota
GO:0000812	Eukaryota
GO:0000813	Eukaryota
GO:0000814	root
GO:0000815	Eukaryota
GO:0000819	root
GO:0000820	root
GO:0000822	Eukaryota
GO:0000824	Fungi
GO:0000828	Eukaryota
GO:0000829	Eukaryota
GO:0000831	root
GO:0000900	cellular organisms
GO:0000902	root
GO:0000906	cellular organisms
GO:0000908	root
GO:0000911	Viridiplantae
GO:0000915	Eukaryota
GO:0000917	cellular organisms
GO:0000919	Viridiplantae
GO:0000921	cellular organisms
GO:0000922	cellular organisms
GO:0000930	Eukaryota
GO:0000931	Eukaryota
GO:0000932	root
GO:0000935	cellular organisms
GO:0000938	Eukaryota
GO:0000939	Opisthokonta
GO:0000940	Eukaryota
GO:0000947	root
GO:0000949	cellular organisms
GO:0000956	root
GO:0000958	root
GO:0000959	Eukaryota
GO:0000963	Eukaryota
GO:0000964	Eukaryota
GO:0000965	Eukaryota
GO:0000967	Bacteria
GO:0000972	Eukaryota
GO:0000973	root
GO:0000974	Eukaryota
GO:0000976	root
GO:0000977	root
GO:0000978	Eukaryota
GO:0000979	Eukaryota
GO:0000981	root
GO:0000987	cellular organisms
GO:0000993	root
GO:0000994	Eukaryota
GO:0000995	Eukaryota
GO:0001000	Actinomycetota
GO:0001002	Eukaryota
GO:0001003	Eukaryota
GO:0001006	cellular organisms
GO:0001015	Opisthokonta
GO:0001018	root
GO:0001025	Bilateria
GO:0001042	Eukaryota
GO:0001046	cellular organisms
GO:0001067	Amniota
GO:0001070	root
GO:0001072	Bacillati
GO:0001073	cellular organisms
GO:0001080	Eukaryota
GO:0001096	root
GO:0001097	Eukaryota
GO:0001099	Bilateria
GO:0001100	root
GO:0001111	Opisthokonta
GO:0001139	Fungi
GO:0001147	root
GO:0001156	Eukaryota
GO:0001162	Opisthokonta
GO:0001163	Dikarya
GO:0001164	cellular organisms
GO:0001172	root
GO:0001179	root
GO:0001181	Eukaryota
GO:0001188	cellular organisms
GO:0001193	Eukaryota
GO:0001216	cellular organisms
GO:0001217	cellular organisms
GO:0001221	cellular organisms
GO:0001222	Eukaryota
GO:0001223	root
GO:0001227	root
GO:0001228	Eukaryota
GO:0001401	Eukaryota
GO:0001402	Fungi
GO:0001403	Fungi
GO:0001405	Eukaryota
GO:0001407	cellular organisms
GO:0001409	Eukaryota
GO:0001501	Bilateria
GO:0001503	Vertebrata
GO:0001508	root
GO:0001510	cellular organisms
GO:0001514	cellular organisms
GO:0001515	Gnathostomata
GO:0001516	root
GO:0001517	root
GO:0001518	cellular organisms
GO:0001522	cellular organisms
GO:0001523	Euteleostomi
GO:0001525	Vertebrata
GO:0001527	Bilateria
GO:0001530	cellular organisms
GO:0001533	Eumetazoa
GO:0001534	Eukaryota
GO:0001537	Amniota
GO:0001540	Eukaryota
GO:0001541	Gnathostomata
GO:0001555	Bilateria
GO:0001558	root
GO:0001561	cellular organisms
GO:0001568	Euteleostomi
GO:0001569	Euteleostomi
GO:0001570	Gnathostomata
GO:0001574	Eukaryota
GO:0001578	Eukaryota
GO:0001579	Opisthokonta
GO:0001580	Eumetazoa
GO:0001582	Bilateria
GO:0001588	Bilateria
GO:0001591	Bilateria
GO:0001594	Bilateria
GO:0001604	Deuterostomia
GO:0001605	Gnathostomata
GO:0001607	Bilateria
GO:0001609	root
GO:0001614	Opisthokonta
GO:0001616	Vertebrata
GO:0001618	root
GO:0001621	Gnathostomata
GO:0001626	Euteleostomi
GO:0001635	Bilateria
GO:0001649	Eumetazoa
GO:0001650	Eukaryota
GO:0001653	cellular organisms
GO:0001654	Bilateria
GO:0001655	Gnathostomata
GO:0001656	Euteleostomi
GO:0001657	Euteleostomi
GO:0001658	Euteleostomi
GO:0001659	cellular organisms
GO:0001660	Euteleostomi
GO:0001661	Bilateria
GO:0001662	Euteleostomi
GO:0001664	Eukaryota
GO:0001665	Eukaryota
GO:0001666	root
GO:0001667	Bilateria
GO:0001669	root
GO:0001671	cellular organisms
GO:0001673	Eukaryota
GO:0001675	Eukaryota
GO:0001676	cellular organisms
GO:0001678	cellular organisms
GO:0001680	cellular organisms
GO:0001681	root
GO:0001682	cellular organisms
GO:0001691	Metazoa
GO:0001694	Bilateria
GO:0001696	Euteleostomi
GO:0001701	Theria
GO:0001707	Bilateria
GO:0001708	cellular organisms
GO:0001709	Eukaryota
GO:0001716	cellular organisms
GO:0001717	cellular organisms
GO:0001725	Eukaryota
GO:0001726	Eukaryota
GO:0001727	cellular organisms
GO:0001729	Eukaryota
GO:0001730	root
GO:0001731	root
GO:0001732	Eukaryota
GO:0001733	cellular organisms
GO:0001734	root
GO:0001735	cellular organisms
GO:0001736	Eumetazoa
GO:0001740	Theria
GO:0001741	Amniota
GO:0001750	Deuterostomia
GO:0001755	root
GO:0001756	Euteleostomi
GO:0001757	Vertebrata
GO:0001758	Euteleostomi
GO:0001760	root
GO:0001761	Opisthokonta
GO:0001762	Opisthokonta
GO:0001763	Eukaryota
GO:0001764	root
GO:0001765	Opisthokonta
GO:0001771	Gnathostomata
GO:0001772	Euteleostomi
GO:0001778	Eukaryota
GO:0001782	Opisthokonta
GO:0001784	root
GO:0001786	cellular organisms
GO:0001817	root
GO:0001818	Bilateria
GO:0001819	Euteleostomi
GO:0001822	Euteleostomi
GO:0001823	Gnathostomata
GO:0001824	Theria
GO:0001825	Theria
GO:0001832	Theria
GO:0001833	Theria
GO:0001835	Theria
GO:0001836	Opisthokonta
GO:0001837	Bilateria
GO:0001841	Euteleostomi
GO:0001843	Gnathostomata
GO:0001845	Eumetazoa
GO:0001848	root
GO:0001849	cellular organisms
GO:0001851	cellular organisms
GO:0001867	Vertebrata
GO:0001868	Eukaryota
GO:0001875	Bilateria
GO:0001881	Eukaryota
GO:0001882	root
GO:0001889	Euteleostomi
GO:0001891	Eukaryota
GO:0001894	Bilateria
GO:0001895	Eumetazoa
GO:0001897	Viruses
GO:0001907	root
GO:0001909	Euteleostomi
GO:0001913	Gnathostomata
GO:0001916	Gnathostomata
GO:0001917	Eumetazoa
GO:0001919	root
GO:0001920	Bilateria
GO:0001921	Bilateria
GO:0001922	Amniota
GO:0001931	Gnathostomata
GO:0001933	Eukaryota
GO:0001935	Gnathostomata
GO:0001936	Amniota
GO:0001937	Bilateria
GO:0001938	root
GO:0001939	Metazoa
GO:0001940	Eukaryota
GO:0001944	Euteleostomi
GO:0001945	Euteleostomi
GO:0001946	Gnathostomata
GO:0001947	Euteleostomi
GO:0001952	Bilateria
GO:0001953	Euteleostomi
GO:0001958	Vertebrata
GO:0001960	Bilateria
GO:0001961	Bilateria
GO:0001963	Bilateria
GO:0001964	Bilateria
GO:0001965	cellular organisms
GO:0001968	cellular organisms
GO:0001973	Bilateria
GO:0001974	Euteleostomi
GO:0001975	Euteleostomi
GO:0001992	Gnathostomata
GO:0002003	Euteleostomi
GO:0002009	Metazoa
GO:0002020	cellular organisms
GO:0002021	Amniota
GO:0002023	Amniota
GO:0002024	Amniota
GO:0002025	Vertebrata
GO:0002026	Tetrapoda
GO:0002027	Bilateria
GO:0002028	Bilateria
GO:0002029	Bilateria
GO:0002031	Eukaryota
GO:0002039	cellular organisms
GO:0002040	Vertebrata
GO:0002042	Gnathostomata
GO:0002047	Bacteria
GO:0002051	Amniota
GO:0002052	Bilateria
GO:0002055	root
GO:0002058	cellular organisms
GO:0002062	Bilateria
GO:0002063	Gnathostomata
GO:0002064	Metazoa
GO:0002072	Euteleostomi
GO:0002074	Euteleostomi
GO:0002076	Euteleostomi
GO:0002080	Vertebrata
GO:0002082	Eumetazoa
GO:0002087	Euteleostomi
GO:0002088	Gnathostomata
