GO_term	taxon
GO:0010207	cellular organisms
GO:0010212	root
GO:0010215	Streptophytina
GO:0010218	Embryophyta
GO:0010222	Magnoliopsida
GO:0010224	Eukaryota
GO:0010225	Eukaryota
GO:0010228	Eukaryota
GO:0010229	Magnoliopsida
GO:0010230	root
GO:0010235	Embryophyta
GO:0010239	Viridiplantae
GO:0010241	Embryophyta
GO:0010242	cellular organisms
GO:0010248	cellular organisms
GO:0010253	Streptophytina
GO:0010255	Eukaryota
GO:0010256	Eukaryota
GO:0010257	cellular organisms
GO:0010262	Magnoliopsida
GO:0010264	cellular organisms
GO:0010265	Eukaryota
GO:0010267	Embryophyta
GO:0010268	Spermatophyta
GO:0010269	Eukaryota
GO:0010273	cellular organisms
GO:0010274	cellular organisms
GO:0010275	cellular organisms
GO:0010277	cellular organisms
GO:0010279	Magnoliopsida
GO:0010280	Streptophyta
GO:0010283	Tracheophyta
GO:0010284	Spermatophyta
GO:0010285	cellular organisms
GO:0010287	Viridiplantae
GO:0010288	cellular organisms
GO:0010291	cellular organisms
GO:0010295	cellular organisms
GO:0010301	root
GO:0010304	root
GO:0010305	Viridiplantae
GO:0010306	Mesangiospermae
GO:0010308	cellular organisms
GO:0010309	cellular organisms
GO:0010314	root
GO:0010315	Viridiplantae
GO:0010325	Spermatophyta
GO:0010328	Viridiplantae
GO:0010329	Viridiplantae
GO:0010330	Streptophytina
GO:0010331	Spermatophyta
GO:0010332	cellular organisms
GO:0010333	cellular organisms
GO:0010340	cellular organisms
GO:0010343	cellular organisms
GO:0010345	root
GO:0010349	cellular organisms
GO:0010369	Eukaryota
GO:0010374	Euphyllophyta
GO:0010376	Mesangiospermae
GO:0010385	Eukaryota
GO:0010387	Eukaryota
GO:0010389	Eukaryota
GO:0010405	Mesangiospermae
GO:0010411	cellular organisms
GO:0010417	cellular organisms
GO:0010420	cellular organisms
GO:0010427	cellular organisms
GO:0010436	cellular organisms
GO:0010438	root
GO:0010444	Embryophyta
GO:0010456	Actinopterygii
GO:0010457	Eukaryota
GO:0010458	Opisthokonta
GO:0010459	Bilateria
GO:0010460	Bilateria
GO:0010465	Amniota
GO:0010467	root
GO:0010468	root
GO:0010476	Viridiplantae
GO:0010484	Eukaryota
GO:0010485	cellular organisms
GO:0010486	Eukaryota
GO:0010487	cellular organisms
GO:0010492	Viridiplantae
GO:0010494	Eukaryota
GO:0010497	Spermatophyta
GO:0010498	cellular organisms
GO:0010499	cellular organisms
GO:0010506	Eukaryota
GO:0010507	Eukaryota
GO:0010508	Eukaryota
GO:0010509	saccharomyceta
GO:0010521	Eukaryota
GO:0010543	Tetrapoda
GO:0010556	Eukaryota
GO:0010557	Eukaryota
GO:0010558	Eukaryota
GO:0010564	Eukaryota
GO:0010565	Bilateria
GO:0010569	cellular organisms
GO:0010571	Eukaryota
GO:0010572	Euteleostomi
GO:0010573	Euteleostomi
GO:0010575	Chordata
GO:0010581	Viridiplantae
GO:0010586	Eukaryota
GO:0010587	Eukaryota
GO:0010591	Opisthokonta
GO:0010592	Bilateria
GO:0010593	Bilateria
GO:0010595	Euteleostomi
GO:0010596	Amniota
GO:0010597	Spermatophyta
GO:0010598	Viridiplantae
GO:0010604	Eukaryota
GO:0010605	Eukaryota
GO:0010606	Eukaryota
GO:0010608	cellular organisms
GO:0010611	Euteleostomi
GO:0010613	Euteleostomi
GO:0010623	Eukaryota
GO:0010628	root
GO:0010629	cellular organisms
GO:0010631	Bilateria
GO:0010634	Bilateria
GO:0010636	Opisthokonta
GO:0010637	Opisthokonta
GO:0010644	Bilateria
GO:0010646	cellular organisms
GO:0010647	Euteleostomi
GO:0010667	Euteleostomi
GO:0010669	Eumetazoa
GO:0010706	Eukaryota
GO:0010715	Euteleostomi
GO:0010717	Euteleostomi
GO:0010718	Euteleostomi
GO:0010719	Chordata
GO:0010736	Chordata
GO:0010737	Opisthokonta
GO:0010738	Eukaryota
GO:0010739	Eukaryota
GO:0010747	Bilateria
GO:0010757	Euteleostomi
GO:0010758	Tetrapoda
GO:0010761	Gnathostomata
GO:0010762	Amniota
GO:0010764	Euteleostomi
GO:0010765	Opisthokonta
GO:0010766	Bilateria
GO:0010774	Eukaryota
GO:0010792	root
GO:0010795	cellular organisms
GO:0010804	root
GO:0010811	cellular organisms
GO:0010815	Eukaryota
GO:0010817	Eukaryota
GO:0010820	Gnathostomata
GO:0010821	Eukaryota
GO:0010824	Eukaryota
GO:0010826	Bilateria
GO:0010827	Opisthokonta
GO:0010828	Eukaryota
GO:0010831	Vertebrata
GO:0010833	Eukaryota
GO:0010837	Bilateria
GO:0010842	Euteleostomi
GO:0010855	root
GO:0010859	Gnathostomata
GO:0010874	Vertebrata
GO:0010875	Deuterostomia
GO:0010877	Bilateria
GO:0010878	Euteleostomi
GO:0010880	Deuterostomia
GO:0010881	Bilateria
GO:0010882	Bilateria
GO:0010883	Eukaryota
GO:0010884	Bilateria
GO:0010887	Gnathostomata
GO:0010888	Eukaryota
GO:0010890	Opisthokonta
GO:0010893	Euteleostomi
GO:0010906	root
GO:0010907	Amniota
GO:0010916	Gnathostomata
GO:0010918	Eukaryota
GO:0010928	Eukaryota
GO:0010936	Amniota
GO:0010945	root
GO:0010948	cellular organisms
GO:0010959	Euteleostomi
GO:0010960	root
GO:0010961	cellular organisms
GO:0010965	Eukaryota
GO:0010968	Eukaryota
GO:0010970	Eukaryota
GO:0010971	Eukaryota
GO:0010972	Eukaryota
GO:0010974	cellular organisms
GO:0010975	Eumetazoa
GO:0010976	Eumetazoa
GO:0010977	Bilateria
GO:0010992	cellular organisms
GO:0010996	Euteleostomi
GO:0010997	cellular organisms
GO:0012501	cellular organisms
GO:0012502	Eukaryota
GO:0012505	cellular organisms
GO:0012506	cellular organisms
GO:0012507	cellular organisms
GO:0012511	Viridiplantae
GO:0014002	Euteleostomi
GO:0014003	Gnathostomata
GO:0014016	Bilateria
GO:0014028	Chordata
GO:0014031	Amniota
GO:0014032	Euteleostomi
GO:0014033	Vertebrata
GO:0014034	Tetrapoda
GO:0014059	Bilateria
GO:0014069	Bilateria
GO:0014701	Tetrapoda
GO:0014704	Euteleostomi
GO:0014706	Euteleostomi
GO:0014731	Euteleostomi
GO:0014808	cellular organisms
GO:0014824	Amniota
GO:0014826	Euteleostomi
GO:0014832	Amniota
GO:0014846	Euteleostomi
GO:0014850	Gnathostomata
GO:0014909	cellular organisms
GO:0014911	Euteleostomi
GO:0014912	Amniota
GO:0014916	Euteleostomi
GO:0015012	cellular organisms
GO:0015016	Eukaryota
GO:0015018	Eukaryota
GO:0015020	cellular organisms
GO:0015024	root
GO:0015026	Eukaryota
GO:0015030	Eukaryota
GO:0015031	cellular organisms
GO:0015035	cellular organisms
GO:0015036	cellular organisms
GO:0015038	root
GO:0015052	Euteleostomi
GO:0015054	Bilateria
GO:0015055	Vertebrata
GO:0015056	Vertebrata
GO:0015057	Vertebrata
GO:0015067	cellular organisms
GO:0015068	cellular organisms
GO:0015074	root
GO:0015075	cellular organisms
GO:0015078	root
GO:0015079	cellular organisms
GO:0015081	root
GO:0015085	Eukaryota
GO:0015086	cellular organisms
GO:0015087	root
GO:0015093	cellular organisms
GO:0015095	root
GO:0015097	root
GO:0015098	cellular organisms
GO:0015099	cellular organisms
GO:0015101	Opisthokonta
GO:0015103	root
GO:0015104	cellular organisms
GO:0015105	cellular organisms
GO:0015106	Bilateria
GO:0015108	cellular organisms
GO:0015109	cellular organisms
GO:0015112	cellular organisms
GO:0015113	root
GO:0015116	cellular organisms
GO:0015117	cellular organisms
GO:0015120	Embryophyta
GO:0015123	cellular organisms
GO:0015125	cellular organisms
GO:0015128	cellular organisms
GO:0015129	cellular organisms
GO:0015131	Eukaryota
GO:0015132	Gnathostomata
GO:0015134	Pseudomonadati
GO:0015136	cellular organisms
GO:0015137	cellular organisms
GO:0015138	root
GO:0015139	Eukaryota
GO:0015140	Eukaryota
GO:0015141	cellular organisms
GO:0015144	cellular organisms
GO:0015145	Viridiplantae
GO:0015149	cellular organisms
GO:0015150	cellular organisms
GO:0015151	Opisthokonta
GO:0015153	cellular organisms
GO:0015159	cellular organisms
GO:0015165	Eukaryota
GO:0015169	cellular organisms
GO:0015171	cellular organisms
GO:0015173	cellular organisms
GO:0015174	cellular organisms
GO:0015175	cellular organisms
GO:0015179	root
GO:0015180	Eukaryota
GO:0015182	Gnathostomata
GO:0015183	cellular organisms
GO:0015184	cellular organisms
GO:0015186	root
GO:0015187	cellular organisms
GO:0015188	cellular organisms
GO:0015189	Eukaryota
GO:0015190	cellular organisms
GO:0015192	root
GO:0015193	cellular organisms
GO:0015196	cellular organisms
GO:0015199	root
GO:0015203	Eukaryota
GO:0015204	cellular organisms
GO:0015205	cellular organisms
GO:0015207	cellular organisms
GO:0015208	cellular organisms
GO:0015209	root
GO:0015211	cellular organisms
GO:0015212	root
GO:0015213	cellular organisms
GO:0015215	Eukaryota
GO:0015216	Amniota
GO:0015217	Eukaryota
GO:0015218	cellular organisms
GO:0015220	cellular organisms
GO:0015221	cellular organisms
GO:0015225	cellular organisms
GO:0015226	cellular organisms
GO:0015227	Eukaryota
GO:0015228	Eukaryota
GO:0015230	Eukaryota
GO:0015232	cellular organisms
GO:0015233	cellular organisms
GO:0015234	root
GO:0015244	Dikarya
GO:0015245	root
GO:0015250	cellular organisms
GO:0015252	cellular organisms
GO:0015254	root
GO:0015267	root
GO:0015269	cellular organisms
GO:0015271	root
GO:0015272	Euteleostomi
GO:0015275	Eukaryota
GO:0015276	root
GO:0015278	Opisthokonta
GO:0015279	Eukaryota
GO:0015280	Eumetazoa
GO:0015288	root
GO:0015291	cellular organisms
GO:0015292	Eukaryota
GO:0015293	cellular organisms
GO:0015295	root
GO:0015296	cellular organisms
GO:0015297	cellular organisms
GO:0015311	Amniota
GO:0015327	Amniota
GO:0015333	cellular organisms
GO:0015341	Bacteria
GO:0015343	cellular organisms
GO:0015344	Bacteria
GO:0015347	cellular organisms
GO:0015355	Opisthokonta
GO:0015360	cellular organisms
GO:0015366	root
GO:0015368	cellular organisms
GO:0015369	cellular organisms
GO:0015370	Chordata
GO:0015371	Amniota
GO:0015374	Bilateria
GO:0015377	cellular organisms
GO:0015378	Eukaryota
GO:0015379	cellular organisms
GO:0015385	cellular organisms
GO:0015386	cellular organisms
GO:0015389	Euteleostomi
GO:0015390	Euteleostomi
GO:0015408	cellular organisms
GO:0015411	root
GO:0015412	Pseudomonadota
GO:0015413	cellular organisms
GO:0015415	root
GO:0015416	root
GO:0015417	cellular organisms
GO:0015419	cellular organisms
GO:0015420	cellular organisms
GO:0015421	cellular organisms
GO:0015423	root
GO:0015424	cellular organisms
GO:0015430	Pseudomonadota
GO:0015433	Amniota
GO:0015439	cellular organisms
GO:0015440	cellular organisms
GO:0015441	Pseudomonadota
GO:0015444	cellular organisms
GO:0015446	cellular organisms
GO:0015450	cellular organisms
GO:0015451	Bacteria
GO:0015459	cellular organisms
GO:0015464	Bilateria
GO:0015467	Bilateria
GO:0015473	Bacteria
GO:0015483	Bacteria
GO:0015485	cellular organisms
GO:0015489	cellular organisms
GO:0015496	Bacteria
GO:0015499	root
GO:0015501	cellular organisms
GO:0015503	Bacteria
GO:0015505	cellular organisms
GO:0015506	Pseudomonadota
GO:0015513	cellular organisms
GO:0015528	cellular organisms
GO:0015535	cellular organisms
GO:0015538	Enterobacterales
GO:0015556	cellular organisms
GO:0015558	Bacteria
GO:0015562	cellular organisms
GO:0015565	cellular organisms
GO:0015568	root
GO:0015572	Bacteria
GO:0015574	cellular organisms
GO:0015577	cellular organisms
GO:0015594	root
GO:0015605	Eukaryota
GO:0015606	root
GO:0015611	Bacteria
GO:0015612	root
GO:0015616	cellular organisms
GO:0015627	Bacteria
GO:0015628	Bacteria
GO:0015629	cellular organisms
GO:0015630	cellular organisms
GO:0015631	root
GO:0015633	Pseudomonadota
GO:0015643	cellular organisms
GO:0015645	cellular organisms
GO:0015648	Bacteria
GO:0015649	Bacteria
GO:0015650	Eukaryota
GO:0015651	Vertebrata
GO:0015657	Bilateria
GO:0015658	root
GO:0015661	cellular organisms
GO:0015662	cellular organisms
GO:0015666	cellular organisms
GO:0015667	root
GO:0015668	root
GO:0015670	Euteleostomi
GO:0015671	cellular organisms
GO:0015675	cellular organisms
GO:0015677	cellular organisms
GO:0015679	cellular organisms
GO:0015689	cellular organisms
GO:0015693	cellular organisms
GO:0015694	cellular organisms
GO:0015695	cellular organisms
GO:0015697	cellular organisms
GO:0015698	cellular organisms
GO:0015699	cellular organisms
GO:0015700	root
GO:0015701	cellular organisms
GO:0015703	cellular organisms
GO:0015705	Chordata
GO:0015706	cellular organisms
GO:0015707	cellular organisms
GO:0015708	root
GO:0015709	cellular organisms
GO:0015711	cellular organisms
GO:0015713	Embryophyta
GO:0015716	cellular organisms
GO:0015718	cellular organisms
GO:0015720	cellular organisms
GO:0015721	cellular organisms
GO:0015722	Euteleostomi
GO:0015724	cellular organisms
GO:0015726	Bacteria
GO:0015727	cellular organisms
GO:0015729	Eukaryota
GO:0015730	Vertebrata
GO:0015732	Euteleostomi
GO:0015734	cellular organisms
GO:0015736	Pseudomonadati
GO:0015739	cellular organisms
GO:0015740	root
GO:0015741	cellular organisms
GO:0015742	Eukaryota
GO:0015743	cellular organisms
GO:0015744	cellular organisms
GO:0015746	cellular organisms
GO:0015748	Eukaryota
GO:0015749	cellular organisms
GO:0015751	cellular organisms
GO:0015752	cellular organisms
GO:0015753	Bacteria
GO:0015755	root
GO:0015756	cellular organisms
GO:0015757	cellular organisms
GO:0015760	root
GO:0015762	Bacteria
GO:0015764	Bacteria
GO:0015767	root
GO:0015768	cellular organisms
GO:0015770	cellular organisms
GO:0015771	cellular organisms
GO:0015772	root
GO:0015774	cellular organisms
GO:0015775	Pseudomonadota
GO:0015778	Pseudomonadati
GO:0015786	Eukaryota
GO:0015790	Eukaryota
GO:0015791	Eukaryota
GO:0015793	cellular organisms
GO:0015794	cellular organisms
GO:0015796	cellular organisms
GO:0015797	cellular organisms
GO:0015798	Eukaryota
GO:0015800	Eukaryota
GO:0015801	cellular organisms
GO:0015802	Eukaryota
GO:0015803	cellular organisms
GO:0015804	cellular organisms
GO:0015807	cellular organisms
GO:0015808	root
GO:0015810	Opisthokonta
GO:0015811	cellular organisms
GO:0015812	root
GO:0015813	cellular organisms
GO:0015814	Bacteria
GO:0015816	Opisthokonta
GO:0015817	Opisthokonta
GO:0015818	root
GO:0015820	root
GO:0015821	cellular organisms
GO:0015822	cellular organisms
GO:0015823	cellular organisms
GO:0015824	cellular organisms
GO:0015826	cellular organisms
GO:0015827	Eukaryota
GO:0015828	Eukaryota
GO:0015829	cellular organisms
GO:0015833	cellular organisms
GO:0015836	cellular organisms
GO:0015837	cellular organisms
GO:0015840	Eukaryota
GO:0015842	Bilateria
GO:0015846	cellular organisms
GO:0015847	cellular organisms
GO:0015848	root
GO:0015849	cellular organisms
GO:0015851	cellular organisms
GO:0015853	cellular organisms
GO:0015854	Eukaryota
GO:0015855	cellular organisms
GO:0015856	cellular organisms
GO:0015858	cellular organisms
GO:0015860	cellular organisms
GO:0015861	cellular organisms
GO:0015862	cellular organisms
GO:0015864	cellular organisms
GO:0015865	Eukaryota
GO:0015866	cellular organisms
GO:0015867	cellular organisms
GO:0015871	root
GO:0015872	Euteleostomi
GO:0015874	Bilateria
GO:0015878	cellular organisms
GO:0015880	Eukaryota
GO:0015881	Chordata
GO:0015886	cellular organisms
GO:0015887	cellular organisms
GO:0015888	cellular organisms
GO:0015889	cellular organisms
GO:0015891	Bacteria
GO:0015903	Dikarya
GO:0015908	cellular organisms
GO:0015909	cellular organisms
GO:0015910	Eukaryota
GO:0015914	cellular organisms
GO:0015918	Eukaryota
GO:0015919	Eukaryota
GO:0015920	root
GO:0015923	Eukaryota
GO:0015925	root
GO:0015926	cellular organisms
GO:0015927	cellular organisms
GO:0015928	Eukaryota
GO:0015929	cellular organisms
GO:0015930	cellular organisms
GO:0015934	cellular organisms
GO:0015935	cellular organisms
GO:0015936	cellular organisms
GO:0015937	root
GO:0015938	Eukaryota
GO:0015939	Tetrapoda
GO:0015940	cellular organisms
GO:0015941	cellular organisms
GO:0015942	cellular organisms
GO:0015944	root
GO:0015945	cellular organisms
GO:0015948	root
GO:0015949	cellular organisms
GO:0015964	Opisthokonta
GO:0015966	cellular organisms
GO:0015969	cellular organisms
GO:0015970	Bacteria
GO:0015974	Bacteria
GO:0015976	cellular organisms
GO:0015977	cellular organisms
GO:0015979	root
GO:0015980	cellular organisms
GO:0015986	cellular organisms
GO:0015990	cellular organisms
GO:0015995	cellular organisms
GO:0015996	root
GO:0016002	cellular organisms
GO:0016005	Chordata
GO:0016008	Drosophila
GO:0016010	Eukaryota
GO:0016011	cellular organisms
GO:0016012	Eumetazoa
GO:0016013	Euteleostomi
GO:0016015	Bilateria
GO:0016018	root
GO:0016020	root
GO:0016024	cellular organisms
GO:0016027	Drosophila
GO:0016028	Pterygota
GO:0016029	Drosophila
GO:0016031	Eukaryota
GO:0016032	root
GO:0016034	cellular organisms
GO:0016035	cellular organisms
GO:0016036	cellular organisms
GO:0016040	cellular organisms
GO:0016041	root
GO:0016042	root
GO:0016050	cellular organisms
GO:0016051	root
GO:0016052	root
GO:0016054	Bacteria
GO:0016055	root
GO:0016057	Bilateria
GO:0016064	Euteleostomi
GO:0016070	cellular organisms
GO:0016071	Eukaryota
GO:0016072	Eukaryota
GO:0016075	root
GO:0016077	root
GO:0016079	root
GO:0016081	Eumetazoa
GO:0016082	Eumetazoa
GO:0016094	cellular organisms
GO:0016095	Eukaryota
GO:0016102	cellular organisms
GO:0016104	cellular organisms
GO:0016114	cellular organisms
GO:0016116	cellular organisms
GO:0016117	cellular organisms
GO:0016119	cellular organisms
GO:0016120	Eukaryota
GO:0016121	cellular organisms
GO:0016123	cellular organisms
GO:0016125	root
GO:0016126	cellular organisms
GO:0016131	Mesangiospermae
GO:0016132	root
GO:0016137	cellular organisms
GO:0016139	cellular organisms
GO:0016149	cellular organisms
GO:0016150	cellular organisms
GO:0016151	cellular organisms
GO:0016152	root
GO:0016153	cellular organisms
GO:0016154	cellular organisms
GO:0016156	cellular organisms
GO:0016157	root
GO:0016158	cellular organisms
GO:0016160	cellular organisms
GO:0016161	cellular organisms
GO:0016162	root
GO:0016163	cellular organisms
GO:0016166	cellular organisms
GO:0016167	Sarcopterygii
GO:0016168	root
GO:0016174	cellular organisms
GO:0016175	cellular organisms
GO:0016176	Eukaryota
GO:0016180	Eukaryota
GO:0016182	Bilateria
GO:0016185	Bilateria
GO:0016191	Bilateria
GO:0016192	cellular organisms
GO:0016197	cellular organisms
GO:0016199	Bilateria
GO:0016203	root
GO:0016206	cellular organisms
GO:0016207	cellular organisms
GO:0016208	root
GO:0016209	cellular organisms
GO:0016210	cellular organisms
GO:0016212	cellular organisms
GO:0016222	Bilateria
GO:0016223	cellular organisms
GO:0016226	cellular organisms
GO:0016231	cellular organisms
GO:0016233	Eukaryota
GO:0016234	Euteleostomi
GO:0016235	Eukaryota
GO:0016236	Eukaryota
GO:0016237	Opisthokonta
GO:0016239	Eukaryota
GO:0016241	Opisthokonta
GO:0016242	Eukaryota
GO:0016243	Bilateria
GO:0016251	Eukaryota
GO:0016255	Eukaryota
GO:0016256	Eukaryota
GO:0016259	cellular organisms
GO:0016260	cellular organisms
GO:0016262	cellular organisms
GO:0016263	cellular organisms
GO:0016266	cellular organisms
GO:0016267	Eukaryota
GO:0016272	cellular organisms
GO:0016274	cellular organisms
GO:0016279	cellular organisms
GO:0016281	Eukaryota
GO:0016282	Eukaryota
GO:0016285	Bacteria
GO:0016286	cellular organisms
GO:0016287	root
GO:0016289	cellular organisms
GO:0016297	root
GO:0016298	cellular organisms
GO:0016300	cellular organisms
GO:0016301	root
GO:0016303	Eukaryota
GO:0016308	cellular organisms
GO:0016309	Eukaryota
GO:0016314	Eukaryota
GO:0016316	Eukaryota
GO:0016320	Eukaryota
GO:0016322	Bilateria
GO:0016323	Bilateria
GO:0016324	cellular organisms
GO:0016327	Bilateria
GO:0016328	cellular organisms
GO:0016331	Bilateria
GO:0016339	root
GO:0016342	cellular organisms
GO:0016358	Eumetazoa
GO:0016360	Bilateria
GO:0016363	Eukaryota
GO:0016401	Eukaryota
GO:0016402	Metazoa
GO:0016403	cellular organisms
GO:0016404	Eukaryota
GO:0016405	root
GO:0016407	cellular organisms
GO:0016409	cellular organisms
GO:0016410	cellular organisms
GO:0016413	cellular organisms
GO:0016422	root
GO:0016423	cellular organisms
GO:0016426	cellular organisms
GO:0016428	cellular organisms
GO:0016430	cellular organisms
GO:0016432	cellular organisms
GO:0016433	cellular organisms
GO:0016434	root
GO:0016435	root
GO:0016438	cellular organisms
GO:0016441	Eukaryota
GO:0016442	root
GO:0016445	Euteleostomi
GO:0016446	Bilateria
GO:0016459	Eukaryota
GO:0016460	cellular organisms
GO:0016462	cellular organisms
GO:0016463	cellular organisms
GO:0016471	cellular organisms
GO:0016477	root
GO:0016480	Eukaryota
GO:0016482	Eukaryota
GO:0016485	cellular organisms
GO:0016486	Opisthokonta
GO:0016491	root
GO:0016492	Gnathostomata
GO:0016493	root
GO:0016499	Bilateria
GO:0016500	Eumetazoa
GO:0016503	root
GO:0016504	Eukaryota
GO:0016507	Eukaryota
GO:0016509	cellular organisms
GO:0016514	Eukaryota
GO:0016519	Euteleostomi
GO:0016525	Euteleostomi
GO:0016528	Bilateria
GO:0016529	Bilateria
GO:0016530	cellular organisms
GO:0016531	Eukaryota
GO:0016533	Eukaryota
GO:0016538	Eukaryota
GO:0016539	root
GO:0016540	root
GO:0016554	Eukaryota
GO:0016556	root
GO:0016558	cellular organisms
GO:0016559	Eukaryota
GO:0016560	cellular organisms
GO:0016562	Opisthokonta
GO:0016567	root
GO:0016579	root
GO:0016581	Eukaryota
GO:0016586	Eukaryota
GO:0016589	Eukaryota
GO:0016591	Eukaryota
GO:0016592	root
GO:0016593	root
GO:0016594	cellular organisms
GO:0016597	cellular organisms
GO:0016600	cellular organisms
GO:0016601	Metazoa
GO:0016602	Eukaryota
GO:0016603	root
GO:0016604	Eukaryota
GO:0016605	Eukaryota
GO:0016607	Eukaryota
GO:0016608	Euteleostomi
GO:0016612	cellular organisms
GO:0016614	cellular organisms
GO:0016615	cellular organisms
GO:0016616	cellular organisms
GO:0016618	cellular organisms
GO:0016620	cellular organisms
GO:0016624	cellular organisms
GO:0016625	cellular organisms
GO:0016627	cellular organisms
GO:0016628	cellular organisms
GO:0016634	Bacillati
GO:0016636	root
GO:0016638	cellular organisms
GO:0016639	cellular organisms
GO:0016641	cellular organisms
GO:0016645	cellular organisms
GO:0016646	cellular organisms
GO:0016647	Enterobacterales
GO:0016651	root
GO:0016652	cellular organisms
GO:0016653	cellular organisms
GO:0016655	cellular organisms
GO:0016661	root
GO:0016667	cellular organisms
GO:0016668	cellular organisms
GO:0016669	root
GO:0016670	Eukaryota
GO:0016671	cellular organisms
GO:0016672	Bacteria
GO:0016679	Bacteria
GO:0016682	cellular organisms
GO:0016684	cellular organisms
GO:0016688	Eukaryota
GO:0016691	root
GO:0016692	cellular organisms
GO:0016701	cellular organisms
GO:0016702	cellular organisms
GO:0016705	root
GO:0016706	root
GO:0016707	Mesangiospermae
GO:0016709	cellular organisms
GO:0016712	cellular organisms
GO:0016714	cellular organisms
GO:0016715	cellular organisms
GO:0016717	cellular organisms
GO:0016719	cellular organisms
GO:0016722	root
GO:0016726	cellular organisms
GO:0016728	cellular organisms
GO:0016730	root
GO:0016740	root
GO:0016741	root
GO:0016742	cellular organisms
GO:0016743	cellular organisms
GO:0016744	cellular organisms
GO:0016746	root
GO:0016747	cellular organisms
GO:0016752	Mesangiospermae
GO:0016755	cellular organisms
GO:0016756	root
GO:0016757	root
GO:0016758	cellular organisms
GO:0016759	cellular organisms
GO:0016760	root
GO:0016762	Embryophyta
GO:0016763	cellular organisms
GO:0016765	cellular organisms
GO:0016768	cellular organisms
GO:0016769	Bacteria
GO:0016772	cellular organisms
GO:0016773	cellular organisms
GO:0016774	cellular organisms
GO:0016775	Bacteria
GO:0016776	cellular organisms
GO:0016779	root
GO:0016780	cellular organisms
GO:0016782	root
GO:0016783	cellular organisms
GO:0016784	cellular organisms
GO:0016785	cellular organisms
GO:0016787	root
GO:0016788	root
GO:0016790	root
GO:0016791	root
GO:0016793	root
GO:0016795	Bacteria
GO:0016798	root
GO:0016799	root
GO:0016803	root
GO:0016805	cellular organisms
GO:0016807	Eukaryota
GO:0016810	root
GO:0016811	cellular organisms
GO:0016812	cellular organisms
GO:0016813	cellular organisms
GO:0016814	cellular organisms
GO:0016817	root
GO:0016818	root
GO:0016823	root
GO:0016829	cellular organisms
GO:0016830	cellular organisms
GO:0016831	cellular organisms
GO:0016832	root
GO:0016833	root
GO:0016835	root
GO:0016836	cellular organisms
GO:0016837	cellular organisms
GO:0016838	cellular organisms
GO:0016840	cellular organisms
GO:0016841	cellular organisms
GO:0016843	cellular organisms
GO:0016846	cellular organisms
GO:0016847	Eukaryota
GO:0016849	cellular organisms
GO:0016851	root
GO:0016852	cellular organisms
GO:0016853	root
GO:0016854	cellular organisms
GO:0016855	cellular organisms
GO:0016857	cellular organisms
GO:0016859	cellular organisms
GO:0016860	root
GO:0016861	Bacteria
GO:0016862	Bacteria
GO:0016866	cellular organisms
GO:0016868	cellular organisms
GO:0016871	Eukaryota
GO:0016872	cellular organisms
GO:0016874	root
GO:0016877	cellular organisms
GO:0016878	cellular organisms
GO:0016879	cellular organisms
GO:0016880	cellular organisms
GO:0016881	cellular organisms
GO:0016884	cellular organisms
GO:0016885	cellular organisms
GO:0016886	Eukaryota
GO:0016887	root
GO:0016888	root
GO:0016889	Opisthokonta
GO:0016891	root
GO:0016896	cellular organisms
GO:0016899	cellular organisms
GO:0016901	Bacteria
GO:0016903	cellular organisms
GO:0016906	cellular organisms
GO:0016907	Bilateria
GO:0016913	Vertebrata
GO:0016914	Euteleostomi
GO:0016918	Eukaryota
GO:0016920	cellular organisms
GO:0016922	Eukaryota
GO:0016925	root
GO:0016926	Eukaryota
GO:0016929	cellular organisms
GO:0016933	Bilateria
GO:0016934	Chordata
GO:0016936	Opisthokonta
GO:0016937	cellular organisms
GO:0016939	Eukaryota
GO:0016941	Bilateria
GO:0016964	Amniota
GO:0016971	root
GO:0016972	root
GO:0016973	cellular organisms
GO:0016977	root
GO:0016979	cellular organisms
GO:0016980	cellular organisms
GO:0016984	cellular organisms
GO:0016985	cellular organisms
GO:0016987	root
GO:0016989	Bacteria
GO:0016990	cellular organisms
GO:0016992	cellular organisms
GO:0016993	cellular organisms
GO:0016994	cellular organisms
GO:0016998	root
GO:0017000	cellular organisms
GO:0017001	cellular organisms
GO:0017002	Eumetazoa
GO:0017004	cellular organisms
GO:0017005	cellular organisms
GO:0017015	Gnathostomata
GO:0017017	root
GO:0017020	Eukaryota
GO:0017022	Eukaryota
GO:0017025	root
GO:0017038	root
GO:0017040	cellular organisms
GO:0017045	Gnathostomata
GO:0017046	Eukaryota
GO:0017050	Eukaryota
GO:0017053	root
GO:0017054	Eukaryota
GO:0017056	cellular organisms
GO:0017057	cellular organisms
GO:0017059	Eukaryota
GO:0017061	root
GO:0017064	cellular organisms
GO:0017065	root
GO:0017069	Eukaryota
GO:0017070	cellular organisms
GO:0017071	Eumetazoa
GO:0017075	Eukaryota
GO:0017076	cellular organisms
GO:0017080	Opisthokonta
GO:0017081	Bilateria
GO:0017085	Bilateria
GO:0017089	root
GO:0017095	cellular organisms
GO:0017099	Eukaryota
GO:0017101	root
GO:0017102	Eukaryota
GO:0017108	root
GO:0017109	Opisthokonta
GO:0017110	cellular organisms
GO:0017111	root
GO:0017113	Eukaryota
GO:0017116	cellular organisms
GO:0017118	cellular organisms
